常設的|Standing
坐|Sitting
跪著|Kneeling
思考|Thinking
眺望遠方|Looking into distance
看著我們|Looking towards us
關心|Being concerned
騎馬|Riding a horse
騎著野獸|Riding a beast
騎機車|Riding a motorcycle
手持劍|Holding a sword
捧著鮮花|Holding flowers
跑步|Running
騎著龍|Riding a dragon
騎著機器人|Riding a robot
持槍|Holding a gun
射擊|Shooting
動作姿勢|Action pose
輕鬆的|Relaxed
對稱的 |Symmetric
坐著|sitting
坐姿|sitting pos
坐在地上(XWX)|w-sitting on the ground
坐在地上|sitting on the ground
坐在臉上|sitting on face
坐在椅子上|sitting on chair
舔別人的臉|licking another's face
舔別人的臉頰|licking another's cheek
舔另一個乳頭|lick another nipple
手放胸上|hands on own chest
手放在別人的臉頰上|hand on another's cheek
手放在別人的臉頰上|hands on another's cheeks
手放在別人的臉上|hand on another's face
手放在別人的臉上|hands on another's face
手放在自己的臉頰上|hand on own cheek
手放在自己的臉上|hands on own face
手對自己的臉|hand to own face
手夾腿間|hand between legs,
手指到臉頰|finger to cheek
手指到臉頰|fingers to cheeks
手插腰|hands on hip
手柔看無|shourou kanna
手在自己的臉上|hand on own face
手挽頭髮|hand in own hair
扇在臉上|fan over face
雙打手槍|double handjob
雙腿過頭|legs over head
雙腿交叉|crossed legs,
雙腳抬起|knees up,
雙手抱頭|arms behind head
雙手放在自己的臉頰上|hands on own cheeks
雙手打手槍|two-handed handjob
雙手握臉|face in hands
四肢著地|all fours
從背後擁抱|hug from behind
一邊上廁所一邊看書|Reading while going to the toilet
挽著別人的胳膊|holding another's arm

拿著茶杯喝水 |(holding a teacup and drinking water:1.2)
